event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-01-23,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-16,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-17,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-18,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-19,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-20,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-21,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-22,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-23,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-26,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Battles,Armed clash,0
2024-01-16,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-17,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-18,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-19,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-20,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-21,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-22,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-23,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-16,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-17,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-18,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-19,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-20,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-21,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-22,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-23,Iraq,Duhok,Shelaza,37.1538,43.385,Battles,Armed clash,0
2024-01-24,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-24,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-25,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
