event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-04-10,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-08,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-09,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-07,Iraq,Babil,Nahiyat Saddat al Hindiyah,32.7156,44.2785,Battles,Armed clash,0
2024-04-11,Iraq,Al Basrah,Al Shalamijah,30.5241,47.8534,Strategic developments,Arrests,0
2024-02-26,Iraq,Baghdad,Baghdad,33.3164,44.3591,Violence against civilians,Attack,1
2024-04-11,Iraq,Babil,Al Midhatiya,32.402,44.6679,Violence against civilians,Attack,1
2024-04-07,Iraq,Baghdad,Baghdad - Mansour,33.3158,44.3515,Violence against civilians,Attack,0
2024-04-11,Iraq,Baghdad,Baghdad - Adhamiya,33.3683,44.3636,Violence against civilians,Attack,0
2024-04-10,Iraq,Baghdad,Baghdad - Karkh,33.3164,44.4039,Explosions/Remote violence,Grenade,0
2024-04-13,Iraq,Baghdad,Baghdad,33.3164,44.3591,Strategic developments,Change to group/activity,0
2024-04-12,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-13,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-14,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-15,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-16,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-17,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-18,Iraq,Al Basrah,Manawi Al Basha,30.5106,47.846,Violence against civilians,Attack,1
2024-04-18,Iraq,Duhok,Gire Carcel,37.1263,43.4013,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Duhok,Gire Carcel,37.1263,43.4013,Explosions/Remote violence,Air/drone strike,0
2024-04-19,Iraq,Duhok,Gulkah,37.148,43.3244,Explosions/Remote violence,Air/drone strike,0
2024-04-20,Iraq,Duhok,Gulkah,37.148,43.3244,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Gire Carcel,37.1263,43.4013,Explosions/Remote violence,Air/drone strike,0
2024-04-21,Iraq,Duhok,Gulkah,37.148,43.3244,Explosions/Remote violence,Air/drone strike,0
2024-04-22,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-23,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-24,Iraq,Al Sulaymaniyah,Bepalan,36.3684,45.0479,Explosions/Remote violence,Air/drone strike,0
2024-04-24,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
2024-04-24,Iraq,Duhok,Gulkah,37.148,43.3244,Explosions/Remote violence,Air/drone strike,0
2024-04-25,Iraq,Al Sulaymaniyah,Bepalan,36.3684,45.0479,Explosions/Remote violence,Air/drone strike,0
2024-04-25,Iraq,Duhok,Dargal,37.1693,43.3154,Explosions/Remote violence,Air/drone strike,0
