DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
2024-10-01 00:00:00,41.1190795898438,29.0423583984375,sxk9uv,49,67,59,3
2024-10-01 00:00:00,41.0641479492188,29.0643310546875,sxk9t7,8,48,27,6
2024-10-01 00:00:00,41.0916137695313,29.0313720703125,sxk9u8,10,149,77,180
2024-10-01 00:00:00,41.1080932617188,29.0863037109375,sxk9vg,2,60,39,12
2024-10-01 00:00:00,41.1135864257813,29.0423583984375,sxk9uu,7,88,46,16
2024-10-01 00:00:00,41.0971069335938,29.0423583984375,sxk9uc,39,68,50,4
2024-10-01 00:00:00,41.0641479492188,29.0863037109375,sxk9tg,7,69,31,17
2024-10-01 00:00:00,41.1190795898438,29.0313720703125,sxk9ut,30,76,55,4
2024-10-01 00:00:00,41.0971069335938,29.0313720703125,sxk9u9,31,44,37,1
2024-10-01 00:00:00,41.0421752929688,29.0423583984375,sxk9kz,4,126,51,134
2024-10-01 00:00:00,41.1135864257813,29.0313720703125,sxk9us,1,98,40,13
2024-10-01 00:00:00,41.0366821289063,29.0533447265625,sxk9mn,6,57,28,13
2024-10-01 00:00:00,41.0916137695313,29.0423583984375,sxk9ub,18,140,85,186
2024-10-01 00:00:00,41.1135864257813,29.0643310546875,sxk9vk,17,52,32,8
2024-10-01 00:00:00,41.0366821289063,29.0423583984375,sxk9ky,2,116,54,158
2024-10-01 00:00:00,41.0421752929688,29.0313720703125,sxk9kx,25,112,72,60
2024-10-01 00:00:00,41.0366821289063,29.0313720703125,sxk9kw,2,59,32,11
2024-10-01 00:00:00,41.1026000976563,29.0753173828125,sxk9vd,76,76,76,1
2024-10-01 00:00:00,41.0311889648438,29.0423583984375,sxk9kv,3,119,51,166
2024-10-01 00:00:00,41.0421752929688,29.0533447265625,sxk9mp,19,50,36,4
2024-10-01 00:00:00,41.0256958007813,29.0423583984375,sxk9ku,4,126,51,187
2024-10-01 00:00:00,41.0311889648438,29.0313720703125,sxk9kt,11,51,26,6
2024-10-01 00:00:00,41.0971069335938,29.0863037109375,sxk9vc,6,52,28,11
2024-10-01 00:00:00,41.0641479492188,29.0533447265625,sxk9t5,25,63,40,6
2024-10-01 00:00:00,41.0806274414063,29.0753173828125,sxk9tw,2,91,41,31
2024-10-01 00:00:00,41.0256958007813,29.0313720703125,sxk9ks,2,55,27,35
2024-10-01 00:00:00,41.0421752929688,29.0203857421875,sxk9kr,7,73,37,20
2024-10-01 00:00:00,41.0586547851563,29.0533447265625,sxk9t4,14,63,35,7
2024-10-01 00:00:00,41.0366821289063,29.0203857421875,sxk9kq,34,34,34,1
2024-10-01 00:00:00,41.0421752929688,29.0093994140625,sxk9kp,2,61,24,81
2024-10-01 00:00:00,41.0311889648438,29.0203857421875,sxk9km,6,55,35,14
2024-10-01 00:00:00,41.0861206054688,29.0533447265625,sxk9tp,17,46,34,8
2024-10-01 00:00:00,41.0256958007813,29.0203857421875,sxk9kk,2,48,23,30
2024-10-01 00:00:00,41.0531616210938,29.0533447265625,sxk9t1,12,58,26,8
2024-10-01 00:00:00,41.0916137695313,29.0863037109375,sxk9vb,2,143,82,212
2024-10-01 00:00:00,41.0256958007813,29.0093994140625,sxk9kh,1,50,29,14
2024-10-01 00:00:00,41.0476684570313,29.0533447265625,sxk9t0,8,56,30,16
2024-10-01 00:00:00,41.0202026367188,29.0423583984375,sxk9kg,5,88,37,75
